,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Theme,Demographic,Genre,Demographics
28,NARUTO,ナルト,Naruto,,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,966,502","82,497",2044479,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despite him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,,,['Martial Arts'],['Shounen'],,
29,OP,ONE PIECE,One Piece,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,496,922","234,772",1419844,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,['Shounen'],,
30,,BLEACH - ブリーチ -,Bleach,,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.97,#705,#35,"2,075,170","78,057",1188869,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,,,['Shounen'],,
31,"Ohran Koko Host Club, Ouran Koukou Hosutobu, Ouran Koukou Host Bu, OHSHC",桜蘭高校ホスト部,Ouran High School Host Club,,['TV'],26,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",['Spring 2006'],Wednesdays at 00:50 (JST),"['VAP', 'Hakusensha', 'Nippon Television Network', 'Fonishia']",['Funimation'],['Bones'],['Manga'],"['Comedy', 'Romance']","['Crossdressing', 'Reverse Harem', 'School']",23 min. per ep.,PG-13 - Teens 13 or older,8.16,#455,#133,"1,165,732","35,500",701419,"Haruhi Fujioka is a studious girl who has recently enrolled at the prestigious Ouran Academy. One day, while looking for a quiet and peaceful place to study, she stumbles across a seemingly unused music room. Upon entering, Haruhi is welcomed by the members of the well-known Host Club: a club in which attractive boys amuse girls from across the entire school. However, when Tamaki Suou—the founder and president of the club—startles the bright scholarship student, she accidentally breaks an expensive vase. With repayment looking difficult for Haruhi, the Host Club members come up with the perfect solution to the girl's problem: work for the club and ultimately become a Host herself! Mistaken for a boy by her peers, Haruhi has to entertain various female students while coping with her fellow Hosts' extravagant personalities. [Written by MAL Rewrite]","['Adaptation (Manga) Ouran Koukou Host Club', '']",Ouran Koukou Host Club,Ouran High School Host Club,Le Lycée de la Seduction Host Club Ouran High School,,['Shoujo'],,
32,"Gin Tama, Silver Soul, Yorinuki Gintama-san",銀魂,Gintama,,['TV'],201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",['Spring 2006'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",['Sunrise'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",24 min. per ep.,PG-13 - Teens 13 or older,8.93,#17,#145,"1,104,711","60,227",408401,"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo. [Written by MAL Rewrite]","[""Sequel (TV) Gintama'"", 'Adaptation (Manga) Gintama']",Gintama,,,,['Shounen'],,
33,"When the Cicadas Cry, The Moment the Cicadas Cry",ひぐらしのなく頃に,Higurashi: When They Cry,Cuando las Cigarras Lloran,['TV'],26,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",['Spring 2006'],Wednesdays at 01:30 (JST),"['Frontier Works', 'Sotsu', 'DAX Production']","['Sentai Filmworks', 'Discotek Media', 'Geneon Entertainment USA']",['Studio Deen'],Visual novel,"['Horror', 'Mystery', 'Suspense']","['Gore', 'Psychological']",24 min. per ep.,R - 17+ (violence & profanity),7.87,#893,#244,"829,646","21,562",404745,"Keiichi Maebara has just moved to the quiet little village of Hinamizawa in the summer of 1983, and quickly becomes inseparable friends with schoolmates Rena Ryuuguu, Mion Sonozaki, Satoko Houjou, and Rika Furude. However, darkness lurks underneath the seemingly idyllic life they lead. As the village prepares for its annual festival, Keiichi learns about the local legends surrounding it. To his horror, he discovers that there have been several murders and disappearances in the village in the recent years, and that they all seem to be connected to the festival and the village's patron god, Oyashiro. Keiichi tries to ask his new friends about these incidents, but they are suspiciously silent and refuse to give him the answers he needs. As more and more bizarre events occur, he wonders just what else his friends might be keeping from him, and if he can even trust them at all. When madness and paranoia begin taking root in Keiichi's heart, he will stumble straight into the mysteries at work in Higurashi no Naku Koro ni, a story that is told across multiple arcs. [Written by MAL Rewrite]","['Sequel (TV) Higurashi no Naku Koro ni Kai', 'Adaptation (Manga) Higurashi no Naku Koro ni: Onikakushi-hen Read Manga', 'Adaptation (Manga) Higurashi no Naku Koro ni: Watanagashi-hen Read Manga', 'Adaptation (Manga) Higurashi no Naku Koro ni: Tatarigoroshi-hen Read Manga']",Higurashi no Naku Koro ni,Higurashi: Das Onikakushi Kapitel,"Higurashi: Hinamizawa, Le Village Maudit",,,,
34,,NANA [ナナ],Nana,,['TV'],47,Finished Airing,"Apr 5, 2006 to Mar 28, 2007",['Spring 2006'],Wednesdays at 23:25 (JST),"['VAP', 'Nippon Television Network', 'Shueisha']","['VIZ Media', 'Sentai Filmworks']",['Madhouse'],['Manga'],"['Drama', 'Romance']","['Adult Cast', 'Love Polygon', 'Music']",22 min. per ep.,R+ - Mild Nudity,8.56,#112,#298,"718,543","32,391",276728,"Departing from their respective hometowns, two young women with identical names are brought together in their pursuit of new beginnings. With their hearts set on going to Tokyo, Nana Komatsu dreams about blissful love, while Nana Osaki aims for a successful music career. The former has a cheerful and friendly nature, but her naivety has steered her romantic life astray until she meets her dependable boyfriend—Shouji Endo. Without letting herself be dismayed by Shouji's decision to study in Tokyo, Nana works hard to earn enough money and follow him there. Meanwhile, her namesake is a solitary punk vocalist whose impassioned romance with her band's bassist, Ren Honjou, comes to a sudden end. Though heartbroken, Nana bravely looks forward and travels to the capital with the ambition of becoming a recognized artist. Shortly after they arrive in Tokyo, the girls cross paths again due to an unexpected coincidence that ultimately leads them to live under the same roof. As they grow closer, the two strive to support one another amid their struggles to forge a future for themselves. [Written by MAL Rewrite]","['Adaptation (Manga) Nana', '']",Nana,,,,['Shoujo'],,
35,,エルゴプラクシー,Ergo Proxy,,['TV'],23,Finished Airing,"Feb 25, 2006 to Aug 12, 2006",['Winter 2006'],Saturdays at 19:00 (JST),"['WOWOW', 'Rondo Robe', 'Geneon Entertainment USA', 'Geneon Entertainment']",['Funimation'],['Manglobe'],Original,"['Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Psychological']",25 min. per ep.,R - 17+ (violence & profanity),7.90,#834,#325,"678,359","14,148",248068,"Within the domed city of Romdo lies one of the last human civilizations on Earth. Thousands of years ago, a global ecological catastrophe doomed the planet; now, life outside these domes is virtually impossible. To expedite mankind's recovery, ""AutoReivs,"" humanoid-like robots, have been created to assist people in their day-to-day lives. However, AutoReivs have begun contracting an enigmatic disease called the ""Cogito Virus,"" which grants them self-awareness. Re-l Mayer, the granddaughter of Romdo's ruler, is assigned to investigate this phenomenon alongside her AutoReiv partner, Iggy. But what begins as a routine investigation quickly spirals into a conspiracy as Re-l is confronted by humanity's darkest sins. Elsewhere in Romdo, an AutoReiv specialist by the name of Vincent Law must also face his demons when surreal events begin occurring around him. Re-l, Iggy, Vincent, and the child AutoReiv named Pino will form an unlikely faction as they struggle to uncover Romdo's mysteries and discover the true purpose of the mythical beings called ""Proxies."" [Written by MAL Rewrite]","['Adaptation (Manga) Ergo Proxy: Centzon Hitchers and Undertaker', '']",Ergo Proxy,,,,,,
36,Blood Plus,ブラッドプラス,Blood+,,['TV'],50,Finished Airing,"Oct 8, 2005 to Sep 23, 2006",['Fall 2005'],Saturdays at 18:00 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'eNa']",['Sony Pictures Entertainment'],['Production I.G'],Original,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural']","['Gore', 'Military', 'Vampire']",23 min. per ep.,R - 17+ (violence & profanity),7.61,#1541,#650,"387,052","4,434",162229,"Saya Otonashi is a seemingly ordinary girl living a mundane life with her adoptive family in Okinawa City. In fact, her only peculiarities are suffering from anemia and being unable to remember any of her life beyond the previous year. However, Saya's forgotten past quickly comes back to haunt her—one night, she is attacked at school by a creature that feeds on human blood. Just when all hope seems lost, a mysterious man named Haji appears and fends off the creature temporarily. But when her rescuer forces her to drink his blood, Saya suddenly enters a trance and slays the monster with ease, using her own blood as a catalyst. Saya then learns of an organization named Red Shield, founded for the sole purpose of defeating the hellish beasts. Now Saya and Haji must work together with Red Shield to fight these fearsome monsters and unlock the secrets to the girl's past. [Written by MAL Rewrite]","['Adaptation (Manga) Blood+', 'Adaptation (Light Novel) Blood+']",Blood+,,,,,,
37,,エア・ギア,Air Gear,,['TV'],25,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",['Spring 2006'],Wednesdays at 01:00 (JST),['Kodansha'],"['ADV Films', 'Funimation']","['Toei Animation', 'Marvelous Entertainment']",['Manga'],"['Sports', 'Ecchi']","['Delinquents', 'School']",24 min. per ep.,R+ - Mild Nudity,7.48,#2040,#698,"362,082","3,679",183348,"Air Trecks, also known as AT, are motorized and futuristic inline skates that are the new craze taking the nation by storm. Although each AT comes with a speed limiter, a community of daredevils known as the ""Storm Riders"" are brave enough to tamper with the device. Utilizing AT's in underground battles, individual teams wager valuable AT parts or team emblems—their symbol of pride—to dominate the streets. Living in this era is Itsuki Minami, a middle school student notorious for engaging in street fights. Always wanting to reach heights no one else is able to, the reckless punk will break through any obstacle that stands in his way, alongside his best friends Kazuma Mikura and Onigiri. However, it is when he discovers a pair of Air Trecks in his house that the path to his true desire finally opens: to rule the skies. [Written by MAL Rewrite]","['Sequel (OVA) Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky', 'Adaptation (Manga) Air Gear Read Manga']",Air Gear,,,,['Shounen'],,
